Date,Close,yhat
3/2/2023,190.9,172.10
3/3/2023,197.79,172.53
3/6/2023,193.81,172.79
3/7/2023,187.71,175.43
3/8/2023,182,174.80
3/9/2023,172.92,174.03
3/10/2023,173.44,174.46
3/13/2023,174.48,174.72
3/14/2023,183.26,177.36
3/15/2023,180.45,176.73
3/16/2023,184.13,175.96
3/17/2023,180.13,176.39
3/20/2023,183.25,176.65
3/21/2023,197.58,179.29
3/22/2023,191.15,178.66
3/23/2023,192.22,177.89
3/24/2023,190.41,178.32
3/27/2023,191.81,178.58
3/28/2023,189.19,181.22
3/29/2023,193.88,180.59
3/30/2023,195.28,179.82
3/31/2023,207.46,180.25
4/3/2023,194.77,180.51
4/4/2023,192.58,183.15
4/5/2023,185.52,182.52
4/6/2023,185.06,181.75
4/10/2023,184.51,182.44
4/11/2023,186.79,185.08
4/12/2023,180.54,184.45
4/13/2023,185.9,183.68
4/14/2023,185,184.11
4/17/2023,187.04,184.37
4/18/2023,184.31,187.01
4/19/2023,180.59,186.41
4/20/2023,162.99,185.66
4/21/2023,165.08,186.12
4/24/2023,162.55,186.46
4/25/2023,160.67,189.13
4/26/2023,153.75,188.52
4/27/2023,160.19,187.77
4/28/2023,164.31,188.23
5/1/2023,161.83,189.66
5/2/2023,160.31,192.69
5/3/2023,160.61,192.45
5/4/2023,161.2,192.06
5/5/2023,170.06,192.88
5/8/2023,171.79,194.31
5/9/2023,169.15,197.34
5/10/2023,168.54,197.09
5/11/2023,172.08,196.99
5/12/2023,167.98,198.09
5/15/2023,166.35,200.37
5/16/2023,166.52,203.68
5/17/2023,173.86,203.73
5/18/2023,176.89,203.62
5/19/2023,180.14,204.73
5/22/2023,188.87,207.00
5/23/2023,185.77,210.32
5/24/2023,182.9,210.36
5/25/2023,184.47,210.26
5/26/2023,193.17,211.36
5/30/2023,201.16,216.95
5/31/2023,203.93,216.99
6/1/2023,207.52,216.89
6/2/2023,213.97,217.99
6/5/2023,217.61,220.27
6/6/2023,221.31,223.58
6/7/2023,224.57,223.62
6/8/2023,234.86,223.52
6/9/2023,244.4,224.62
6/12/2023,249.83,226.90
6/13/2023,258.71,230.22
6/14/2023,256.79,230.26
6/15/2023,255.9,230.16
6/16/2023,260.54,231.26
6/20/2023,274.45,236.85
6/21/2023,259.46,236.89
6/22/2023,264.61,236.79
6/23/2023,256.6,237.89
6/26/2023,241.05,240.17
6/27/2023,250.21,243.48
6/28/2023,256.24,243.49
6/29/2023,257.5,243.36
6/30/2023,261.77,244.43
7/3/2023,279.82,246.61
7/5/2023,282.48,249.91
7/6/2023,276.54,249.77
7/7/2023,274.43,250.85
7/10/2023,269.61,253.03
7/11/2023,269.79,255.83
7/12/2023,271.99,255.36
7/13/2023,277.9,254.75
7/14/2023,281.38,255.34
7/17/2023,290.38,256.08
7/18/2023,293.34,258.88
7/19/2023,291.26,258.41
7/20/2023,262.9,257.80
7/21/2023,260.02,257.90
7/24/2023,269.06,257.20
7/25/2023,265.28,259.52
7/26/2023,264.35,258.57
7/27/2023,255.71,257.47
7/28/2023,266.44,257.58
7/31/2023,267.43,256.87
8/1/2023,261.07,259.19
8/2/2023,254.11,258.08
8/3/2023,259.32,256.83
8/4/2023,253.86,256.78
8/7/2023,251.45,255.60
8/8/2023,249.7,257.76
8/9/2023,242.19,256.64
8/10/2023,245.34,255.39
8/11/2023,242.65,255.34
8/14/2023,239.76,254.16
8/15/2023,232.96,256.32
8/16/2023,225.6,255.21
8/17/2023,219.22,253.95
8/18/2023,215.49,253.90
8/21/2023,231.28,252.72
8/22/2023,233.19,254.88
8/23/2023,236.86,253.77
8/24/2023,230.04,252.52
8/25/2023,238.59,252.47
8/28/2023,238.82,251.29
8/29/2023,257.18,253.45
8/30/2023,256.9,252.34
8/31/2023,258.08,251.08
9/1/2023,245.01,251.03
9/5/2023,256.49,252.01
9/6/2023,251.92,250.90
9/7/2023,251.49,249.65
9/8/2023,248.5,249.59
9/11/2023,273.58,248.41
9/12/2023,267.48,250.57
9/13/2023,271.3,249.46
9/14/2023,276.04,248.21
9/15/2023,274.39,248.16
9/18/2023,265.28,246.98
9/19/2023,266.5,249.14
9/20/2023,262.59,248.03
9/21/2023,255.7,246.77
9/22/2023,244.88,246.72
9/25/2023,246.99,245.54
9/26/2023,244.12,247.70
9/27/2023,240.5,246.59
9/28/2023,246.38,245.34
9/29/2023,250.22,245.29
10/2/2023,251.6,244.11
10/3/2023,246.53,246.27
10/4/2023,261.16,245.15
10/5/2023,260.05,243.90
10/6/2023,260.53,243.85
10/9/2023,259.67,242.67
10/10/2023,263.62,244.83
10/11/2023,262.99,243.72
10/12/2023,258.87,242.46
10/13/2023,251.12,242.41
10/16/2023,253.92,241.23
10/17/2023,254.85,243.39
10/18/2023,242.68,242.28
10/19/2023,220.11,241.03
10/20/2023,211.99,240.98
10/23/2023,212.08,239.80
10/24/2023,216.52,241.96
10/25/2023,212.42,240.84
10/26/2023,205.76,239.59
10/27/2023,207.3,239.54
10/30/2023,197.36,238.36
10/31/2023,200.84,240.52
11/1/2023,205.66,239.41
11/2/2023,218.51,238.15
11/3/2023,219.96,238.10
11/6/2023,219.27,236.92
11/7/2023,222.18,239.08
11/8/2023,222.11,237.97
11/9/2023,209.98,236.72
11/10/2023,214.65,236.67
11/13/2023,223.71,235.49
11/14/2023,237.41,237.65
11/15/2023,242.84,236.54
11/16/2023,233.59,235.28
11/17/2023,234.3,235.23
11/20/2023,235.6,234.05
11/21/2023,241.2,236.21
11/22/2023,234.21,235.10
11/24/2023,235.45,233.79
11/27/2023,236.08,232.61
11/28/2023,246.72,234.77
11/29/2023,244.14,233.66
11/30/2023,240.08,232.41
12/1/2023,238.83,232.36
12/4/2023,235.58,231.18
12/5/2023,238.72,233.34
12/6/2023,239.37,232.23
12/7/2023,242.64,230.97
12/8/2023,243.84,230.92
12/11/2023,239.74,229.74
12/12/2023,237.01,231.90
12/13/2023,239.29,230.78
12/14/2023,251.05,229.53
12/15/2023,253.5,229.48
12/18/2023,252.08,227.59
12/19/2023,257.22,229.52
12/20/2023,247.14,228.17
12/21/2023,254.5,226.68
12/22/2023,252.54,226.40
12/26/2023,256.61,226.44
12/27/2023,261.44,225.09
12/28/2023,253.18,223.61
12/29/2023,248.48,223.32
1/2/2024,248.42,223.36
1/3/2024,238.45,222.02
1/4/2024,237.93,220.53
1/5/2024,237.49,220.24
1/8/2024,240.45,218.36
1/9/2024,234.96,220.29
1/10/2024,233.94,218.94
1/11/2024,227.22,217.45
1/12/2024,218.89,217.17
1/16/2024,219.91,217.21
1/17/2024,215.55,215.86
1/18/2024,211.88,214.37
1/19/2024,212.19,214.09
1/22/2024,208.8,212.20
1/23/2024,209.14,214.13
1/24/2024,207.83,212.78
1/25/2024,182.63,211.30
1/26/2024,183.25,211.01
1/29/2024,190.93,209.13
1/30/2024,191.59,211.05
1/31/2024,187.29,209.71
2/1/2024,188.86,208.22
2/2/2024,187.91,207.93
2/5/2024,181.06,206.05
2/6/2024,185.1,207.98
2/7/2024,187.58,206.63
2/8/2024,189.56,205.14
2/9/2024,193.57,204.86
2/12/2024,188.13,202.97
2/13/2024,184.02,204.90
2/14/2024,188.71,203.55
2/15/2024,200.45,202.06
2/16/2024,199.95,201.78
2/20/2024,193.76,201.82
2/21/2024,194.77,200.47
2/22/2024,197.41,198.99
2/23/2024,191.97,198.70
2/26/2024,199.4,196.82
2/27/2024,199.73,198.74
2/28/2024,202.04,197.40
2/29/2024,201.88,195.91
3/1/2024,202.64,195.62
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
,,205.76
