,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-03-02,175.55313402614797,146.6711973496471,195.0874016965587,175.55313402614797,175.55313402614797,-3.4578948062393837,-3.4578948062393837,-3.4578948062393837,-3.4578948062393837,-3.4578948062393837,-3.4578948062393837,0.0,0.0,0.0,172.0952392199086
1,2023-03-03,175.82888005175775,148.2732837257692,195.5758341758731,175.82888005175775,175.82888005175775,-3.303546150849793,-3.303546150849793,-3.303546150849793,-3.303546150849793,-3.303546150849793,-3.303546150849793,0.0,0.0,0.0,172.52533390090795
2,2023-03-06,176.6561181285871,148.86174129524323,196.9557040579796,176.6561181285871,176.6561181285871,-3.868330562170583,-3.868330562170583,-3.868330562170583,-3.868330562170583,-3.868330562170583,-3.868330562170583,0.0,0.0,0.0,172.78778756641654
3,2023-03-07,176.93186415419686,150.71639398305547,199.56900468614504,176.93186415419686,176.93186415419686,-1.5023517545689178,-1.5023517545689178,-1.5023517545689178,-1.5023517545689178,-1.5023517545689178,-1.5023517545689178,0.0,0.0,0.0,175.42951239962795
4,2023-03-08,177.20761017980664,150.39760950929588,201.0797885532185,177.20761017980664,177.20761017980664,-2.40889202751756,-2.40889202751756,-2.40889202751756,-2.40889202751756,-2.40889202751756,-2.40889202751756,0.0,0.0,0.0,174.79871815228907
5,2023-03-09,177.4833562054164,150.9432295431263,197.33129451024686,177.4833562054164,177.4833562054164,-3.4578948062512618,-3.4578948062512618,-3.4578948062512618,-3.4578948062512618,-3.4578948062512618,-3.4578948062512618,0.0,0.0,0.0,174.02546139916515
6,2023-03-10,177.7591022310262,150.98043216609818,197.7575559884448,177.7591022310262,177.7591022310262,-3.3035461508410906,-3.3035461508410906,-3.3035461508410906,-3.3035461508410906,-3.3035461508410906,-3.3035461508410906,0.0,0.0,0.0,174.4555560801851
7,2023-03-13,178.5863403078555,149.9589264206903,199.07922555794622,178.5863403078555,178.5863403078555,-3.868330562176978,-3.868330562176978,-3.868330562176978,-3.868330562176978,-3.868330562176978,-3.868330562176978,0.0,0.0,0.0,174.71800974567853
8,2023-03-14,178.8620863334653,152.08057131825385,200.4766837076431,178.8620863334653,178.8620863334653,-1.5023517545655178,-1.5023517545655178,-1.5023517545655178,-1.5023517545655178,-1.5023517545655178,-1.5023517545655178,0.0,0.0,0.0,177.35973457889978
9,2023-03-15,179.13783235643612,152.3490356907953,200.54100660474288,179.13783235643612,179.13783235643612,-2.408892027520628,-2.408892027520628,-2.408892027520628,-2.408892027520628,-2.408892027520628,-2.408892027520628,0.0,0.0,0.0,176.72894032891548
10,2023-03-16,179.413578379407,153.21600283759267,200.77825323036996,179.413578379407,179.413578379407,-3.4578948062481207,-3.4578948062481207,-3.4578948062481207,-3.4578948062481207,-3.4578948062481207,-3.4578948062481207,0.0,0.0,0.0,175.95568357315886
11,2023-03-17,179.68932440237788,154.558585408817,200.66722729356056,179.68932440237788,179.68932440237788,-3.3035461508323887,-3.3035461508323887,-3.3035461508323887,-3.3035461508323887,-3.3035461508323887,-3.3035461508323887,0.0,0.0,0.0,176.3857782515455
12,2023-03-20,180.5165624712904,154.52903309121137,199.66189285842307,180.5165624712904,180.5165624712904,-3.868330562190878,-3.868330562190878,-3.868330562190878,-3.868330562190878,-3.868330562190878,-3.868330562190878,0.0,0.0,0.0,176.6482319090995
13,2023-03-21,180.79230849426128,153.76895045795376,201.9436818570984,180.79230849426128,180.79230849426128,-1.5023517545621188,-1.5023517545621188,-1.5023517545621188,-1.5023517545621188,-1.5023517545621188,-1.5023517545621188,0.0,0.0,0.0,179.28995673969916
14,2023-03-22,181.06805451723216,153.87193330184454,203.31273896469176,181.06805451723216,181.06805451723216,-2.4088920275155257,-2.4088920275155257,-2.4088920275155257,-2.4088920275155257,-2.4088920275155257,-2.4088920275155257,0.0,0.0,0.0,178.65916248971664
15,2023-03-23,181.34380054020298,155.35845804293288,201.9115253154504,181.34380054020298,181.34380054020298,-3.4578948062449784,-3.4578948062449784,-3.4578948062449784,-3.4578948062449784,-3.4578948062449784,-3.4578948062449784,0.0,0.0,0.0,177.885905733958
16,2023-03-24,181.61954656317386,157.22762155151779,202.15490250276952,181.61954656317386,181.61954656317386,-3.303546150834539,-3.303546150834539,-3.303546150834539,-3.303546150834539,-3.303546150834539,-3.303546150834539,0.0,0.0,0.0,178.31600041233932
17,2023-03-27,182.4467846208152,153.35328531463662,201.14443957464917,182.4467846208152,182.4467846208152,-3.86833056216396,-3.86833056216396,-3.86833056216396,-3.86833056216396,-3.86833056216396,-3.86833056216396,0.0,0.0,0.0,178.57845405865126
18,2023-03-28,182.72253064002902,158.86541109664333,206.45243466022893,182.72253064002902,182.72253064002902,-1.5023517545587193,-1.5023517545587193,-1.5023517545587193,-1.5023517545587193,-1.5023517545587193,-1.5023517545587193,0.0,0.0,0.0,181.2201788854703
19,2023-03-29,182.9982766592428,157.27969730194692,206.33529541483495,182.9982766592428,182.9982766592428,-2.408892027518593,-2.408892027518593,-2.408892027518593,-2.408892027518593,-2.408892027518593,-2.408892027518593,0.0,0.0,0.0,180.58938463172422
20,2023-03-30,183.27402267845662,156.53393459317437,202.59469648910786,183.27402267845662,183.27402267845662,-3.4578948062422143,-3.4578948062422143,-3.4578948062422143,-3.4578948062422143,-3.4578948062422143,-3.4578948062422143,0.0,0.0,0.0,179.8161278722144
21,2023-03-31,183.54976869767037,157.03922051621075,203.07511815256586,183.54976869767037,183.54976869767037,-3.3035461508149866,-3.3035461508149866,-3.3035461508149866,-3.3035461508149866,-3.3035461508149866,-3.3035461508149866,0.0,0.0,0.0,180.2462225468554
22,2023-04-03,184.37700675531175,155.20279393675253,204.77189006140495,184.37700675531175,184.37700675531175,-3.8683305621703545,-3.8683305621703545,-3.8683305621703545,-3.8683305621703545,-3.8683305621703545,-3.8683305621703545,0.0,0.0,0.0,180.5086761931414
23,2023-04-04,184.65275277452557,160.15116810925193,207.31704342428282,184.65275277452557,184.65275277452557,-1.5023517545579963,-1.5023517545579963,-1.5023517545579963,-1.5023517545579963,-1.5023517545579963,-1.5023517545579963,0.0,0.0,0.0,183.15040101996757
24,2023-04-05,184.92849879373932,157.99705712763893,207.14390589738585,184.92849879373932,184.92849879373932,-2.4088920275189794,-2.4088920275189794,-2.4088920275189794,-2.4088920275189794,-2.4088920275189794,-2.4088920275189794,0.0,0.0,0.0,182.51960676622033
25,2023-04-06,185.20424481487535,159.37735702775976,204.8601472877248,185.20424481487535,185.20424481487535,-3.4578948062390724,-3.4578948062390724,-3.4578948062390724,-3.4578948062390724,-3.4578948062390724,-3.4578948062390724,0.0,0.0,0.0,181.74635000863628
26,2023-04-10,186.30722889941947,158.65560152101776,205.66498384454655,186.30722889941947,186.30722889941947,-3.868330562169243,-3.868330562169243,-3.868330562169243,-3.868330562169243,-3.868330562169243,-3.868330562169243,0.0,0.0,0.0,182.43889833725024
27,2023-04-11,186.5829749205555,159.4315438711596,209.95256559889117,186.5829749205555,186.5829749205555,-1.5023517545519198,-1.5023517545519198,-1.5023517545519198,-1.5023517545519198,-1.5023517545519198,-1.5023517545519198,0.0,0.0,0.0,185.0806231660036
28,2023-04-12,186.85872094169153,161.68432171299025,209.00996052310467,186.85872094169153,186.85872094169153,-2.408892027519366,-2.408892027519366,-2.408892027519366,-2.408892027519366,-2.408892027519366,-2.408892027519366,0.0,0.0,0.0,184.44982891417217
29,2023-04-13,187.13446696282756,160.43998540818728,207.5534776034278,187.13446696282756,187.13446696282756,-3.45789480625095,-3.45789480625095,-3.45789480625095,-3.45789480625095,-3.45789480625095,-3.45789480625095,0.0,0.0,0.0,183.6765721565766
30,2023-04-14,187.4102129839636,161.00994872487124,210.09408818197392,187.4102129839636,187.4102129839636,-3.303546150842753,-3.303546150842753,-3.303546150842753,-3.303546150842753,-3.303546150842753,-3.303546150842753,0.0,0.0,0.0,184.10666683312084
31,2023-04-17,188.23745104737165,159.85196602027702,208.85898763162726,188.23745104737165,188.23745104737165,-3.868330562168131,-3.868330562168131,-3.868330562168131,-3.868330562168131,-3.868330562168131,-3.868330562168131,0.0,0.0,0.0,184.36912048520352
32,2023-04-18,188.51319706850768,163.67979906732813,210.5241941109553,188.51319706850768,188.51319706850768,-1.5023517545665637,-1.5023517545665637,-1.5023517545665637,-1.5023517545665637,-1.5023517545665637,-1.5023517545665637,0.0,0.0,0.0,187.0108453139411
33,2023-04-19,188.81528188696674,161.9247292117512,209.94230503537466,188.81528188696674,188.81528188696674,-2.4088920275197516,-2.4088920275197516,-2.4088920275197516,-2.4088920275197516,-2.4088920275197516,-2.4088920275197516,0.0,0.0,0.0,186.406389859447
34,2023-04-20,189.1173667054258,162.73153839571142,211.552339734451,189.1173667054258,189.1173667054258,-3.4578948062478085,-3.4578948062478085,-3.4578948062478085,-3.4578948062478085,-3.4578948062478085,-3.4578948062478085,0.0,0.0,0.0,185.659471899178
35,2023-04-21,189.41945152388487,160.57834365144214,211.94501432060576,189.41945152388487,189.41945152388487,-3.303546150844902,-3.303546150844902,-3.303546150844902,-3.303546150844902,-3.303546150844902,-3.303546150844902,0.0,0.0,0.0,186.11590537303996
36,2023-04-24,190.32570597926204,163.95476107181037,209.80841286846146,190.32570597926204,190.32570597926204,-3.868330562182032,-3.868330562182032,-3.868330562182032,-3.868330562182032,-3.868330562182032,-3.868330562182032,0.0,0.0,0.0,186.45737541708002
37,2023-04-25,190.6277907977211,167.08624234578008,213.0413946600283,190.6277907977211,190.6277907977211,-1.5023517545631633,-1.5023517545631633,-1.5023517545631633,-1.5023517545631633,-1.5023517545631633,-1.5023517545631633,0.0,0.0,0.0,189.12543904315794
38,2023-04-26,190.9298756161802,166.48014389252774,213.36522910235297,190.9298756161802,190.9298756161802,-2.4088920275146486,-2.4088920275146486,-2.4088920275146486,-2.4088920275146486,-2.4088920275146486,-2.4088920275146486,0.0,0.0,0.0,188.52098358866556
39,2023-04-27,191.23196043463923,164.35198415570252,210.91450854818905,191.23196043463923,191.23196043463923,-3.457894806252178,-3.457894806252178,-3.457894806252178,-3.457894806252178,-3.457894806252178,-3.457894806252178,0.0,0.0,0.0,187.77406562838706
40,2023-04-28,191.5340452530983,163.39750173147246,213.64389836857103,191.5340452530983,191.5340452530983,-3.303546150847052,-3.303546150847052,-3.303546150847052,-3.303546150847052,-3.303546150847052,-3.303546150847052,0.0,0.0,0.0,188.23049910225126
41,2023-05-01,193.52607319169724,165.0124898611879,213.1599083092166,193.52607319169724,193.52607319169724,-3.86833056218092,-3.86833056218092,-3.86833056218092,-3.86833056218092,-3.86833056218092,-3.86833056218092,0.0,0.0,0.0,189.65774262951632
42,2023-05-02,194.19008250456352,167.47884949231792,218.37308062875675,194.19008250456352,194.19008250456352,-1.502351754562442,-1.502351754562442,-1.502351754562442,-1.502351754562442,-1.502351754562442,-1.502351754562442,0.0,0.0,0.0,192.68773075000107
43,2023-05-03,194.85409181742983,168.558386340155,216.94471658345165,194.85409181742983,194.85409181742983,-2.408892027515035,-2.408892027515035,-2.408892027515035,-2.408892027515035,-2.408892027515035,-2.408892027515035,0.0,0.0,0.0,192.4451997899148
44,2023-05-04,195.51810113029612,167.9157010511453,215.6170782170486,195.51810113029612,195.51810113029612,-3.4578948062419026,-3.4578948062419026,-3.4578948062419026,-3.4578948062419026,-3.4578948062419026,-3.4578948062419026,0.0,0.0,0.0,192.0602063240542
45,2023-05-05,196.18211044316246,168.3497574555297,216.22833639007737,196.18211044316246,196.18211044316246,-3.3035461508274993,-3.3035461508274993,-3.3035461508274993,-3.3035461508274993,-3.3035461508274993,-3.3035461508274993,0.0,0.0,0.0,192.87856429233497
46,2023-05-08,198.17413838176134,170.93138008033728,218.99329865032604,198.17413838176134,198.17413838176134,-3.8683305621873143,-3.8683305621873143,-3.8683305621873143,-3.8683305621873143,-3.8683305621873143,-3.8683305621873143,0.0,0.0,0.0,194.30580781957403
47,2023-05-09,198.83814769462768,172.9703910342578,221.17180919537861,198.83814769462768,198.83814769462768,-1.5023517545617195,-1.5023517545617195,-1.5023517545617195,-1.5023517545617195,-1.5023517545617195,-1.5023517545617195,0.0,0.0,0.0,197.33579594006596
48,2023-05-10,199.50215700749396,173.41054586504205,219.50824809993108,199.50215700749396,199.50215700749396,-2.4088920275181036,-2.4088920275181036,-2.4088920275181036,-2.4088920275181036,-2.4088920275181036,-2.4088920275181036,0.0,0.0,0.0,197.09326497997586
49,2023-05-11,200.4496806320011,173.82862754370663,220.39409857960752,200.4496806320011,200.4496806320011,-3.45789480624627,-3.45789480624627,-3.45789480624627,-3.45789480624627,-3.45789480624627,-3.45789480624627,0.0,0.0,0.0,196.99178582575485
50,2023-05-12,201.39720425650825,172.25275025149946,221.13773550644817,201.39720425650825,201.39720425650825,-3.303546150829648,-3.303546150829648,-3.303546150829648,-3.303546150829648,-3.303546150829648,-3.303546150829648,0.0,0.0,0.0,198.0936581056786
51,2023-05-15,204.23977513002964,175.7949413556685,223.32719042508083,204.23977513002964,204.23977513002964,-3.868330562167902,-3.868330562167902,-3.868330562167902,-3.868330562167902,-3.868330562167902,-3.868330562167902,0.0,0.0,0.0,200.37144456786174
52,2023-05-16,205.18729875453678,181.16960050413016,227.71964568302354,205.18729875453678,205.18729875453678,-1.5023517545556424,-1.5023517545556424,-1.5023517545556424,-1.5023517545556424,-1.5023517545556424,-1.5023517545556424,0.0,0.0,0.0,203.68494699998115
53,2023-05-17,206.13482237904392,180.0738115978716,227.00748456940264,206.13482237904392,206.13482237904392,-2.4088920275158077,-2.4088920275158077,-2.4088920275158077,-2.4088920275158077,-2.4088920275158077,-2.4088920275158077,0.0,0.0,0.0,203.72593035152812
54,2023-05-18,207.08234600355107,180.50579863296974,227.8911049666854,207.08234600355107,207.08234600355107,-3.457894806243129,-3.457894806243129,-3.457894806243129,-3.457894806243129,-3.457894806243129,-3.457894806243129,0.0,0.0,0.0,203.62445119730793
55,2023-05-19,208.02986962805818,179.30264750851768,229.1153521112751,208.02986962805818,208.02986962805818,-3.303546150820948,-3.303546150820948,-3.303546150820948,-3.303546150820948,-3.303546150820948,-3.303546150820948,0.0,0.0,0.0,204.72632347723723
56,2023-05-22,210.87244050157963,182.4101023272345,230.97467955544244,210.87244050157963,210.87244050157963,-3.868330562174297,-3.868330562174297,-3.868330562174297,-3.868330562174297,-3.868330562174297,-3.868330562174297,0.0,0.0,0.0,207.00410993940534
